Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg
74,RAMSEY (MLBC),MLBC,559.0,0,128,RAMSEY,41.056422,-74.141877,6.818181818181818,72.0,43.774048,527,RAMSEY,1046.5531982672755,157826.20578554817,45.99193421383495,66.30321704889859,97.7507290664916,3.5629657433676694,14.303589147521974,44.61247812079322
75,New Providence (GLAD),GLAD,556.0,0,104,NEW PROVIDENCE,40.712022,-74.386501,5.863636363636363,53.0,39.42883,114,NEW PROVIDENCE,1599.108391910387,162530.43374961315,41.965624823121374,71.15988681804379,95.51192618881512,6.939044005741039,21.694358499016065,41.30572449684524
76,River Edge (Pascack),Pascack,544.0,0,132,RIVER EDGE,40.935146,-74.02914,3.4545454545454546,40.0,29.450922,101,RIVER EDGE,2275.426948454286,132701.71976884236,36.23802207946312,68.23769411582056,94.77896156125716,5.903846245176941,12.71554070165722,43.576885894440245
77,New Bridge Landing (Pascack),Pascack,536.0,0,110,NEW BRIDGE LANDING,40.910856,-74.035044,3.590909090909091,42.0,26.715044,281,NEW BRIDGE LANDING,1788.4941821107134,130148.18341840428,36.75098273108187,68.26413160316986,94.0558234133868,6.991707702808793,13.640509684450093,44.66439596734645
78,Asbury Park (NJCL),NJCL,514.0,0,8,ASBURY PARK,40.215359,-74.014786,4.545454545454546,107.0,91.571446,38,ASBURY PARK,3513.9581587466923,63138.87594326836,23.969447331597447,70.39605472542794,93.84824276950415,8.252042009940771,7.62530654417592,41.37036176781605
79,Hawthorne (MLBC),MLBC,511.0,0,58,HAWTHORNE,40.942539,-74.152411,5.590909090909091,49.0,31.221196,128,HAWTHORNE,2540.7778670016914,103813.64754511473,25.72903018260548,71.64891552208655,96.13760282443226,4.983941762724447,8.901635850551287,36.261983353389454
80,Hohokus (MLBC),MLBC,502.0,0,64,HOHOKUS,40.997369,-74.113521,10.227272727272728,48.0,36.371084,203,HOHOKUS,1657.0442517576112,189907.46711877745,41.23758441022668,68.75173691402684,96.3006211202513,3.8011633113193546,23.086963275007097,43.06432298741745
81,Waldwick (MLBC),MLBC,493.0,0,151,WALDWICK,41.012734,-74.123412,10.227272727272728,52.0,38.302292,195,WALDWICK,1559.9572619084208,149775.72801076373,38.78925708892825,68.59406196863185,96.7793445105242,3.220655489475803,18.698128367932718,41.292537020081205
82,Netherwood (RVL),RVL,490.0,0,102,NETHERWOOD,40.629148,-74.403455,5.954545454545454,71.0,40.555368,158,NETHERWOOD,2405.207015862707,98662.97481397088,25.387294766308653,69.86827582871284,93.94433311574096,6.734511277799674,11.734096816252228,40.21698498502876
84,Denville (M&E),M&E,477.0,1,34,DENVILLE,40.8839,-74.481513,9.318181818181818,76.0,62.925194000000005,237,DENVILLE,681.1692486927956,136188.40495855102,35.24718651324613,68.79025506686733,95.17671817885336,5.467033342200744,4.323325373965907,46.84358253080661
85,Berkeley Heights (GLAD),GLAD,471.0,0,17,BERKELEY HEIGHTS,40.682345,-74.442649,5.863636363636363,66.0,45.86619,219,BERKELEY HEIGHTS,449.9443925619194,156044.4230110141,32.47879023906611,62.894104065809074,90.53742344536614,9.753605577362029,10.067071230471976,44.57980127309877
